"y","Independen","The Patrio","The Day Af","Pirates of","Pretty Wom","Forrest Gu","The Green ","Con Air","Twister","Sweet Home","Pearl Harb","Armageddon","The Rock","What Women","Bruce Almi","Oceans Ele","The Bourne","The Italia","I Robot","American B","How to Los","Lethal Wea","Shrek 2","Lost in Tr","Top Gun","Pulp Ficti","Gone in 60","The Sixth ","Lord of th","Men of Hon","Gladiator","Lord of th","Sister Act","Double Jeo","Two Weeks ","Troy","The Royal ","National T","50 First D","Indiana Jo","My Big Fat","Mystic Riv","Titanic","Dirty Danc","Catch Me I","Finding Ne","The Matrix","Kill Bill:","The Weddin","The Shawsh","The Last S","John Q","Swordfish","The Bourne","The Termin","Men in Bla","Spider-Man","Braveheart","Men in Bla","Ghost","Air Force ","Lord of th","Man on Fir","The Incred","Mr Deeds","Collateral","Spider-Man","Saving Pri","Erin Brock","Monsters I","Shrek (Ful","The Silenc","Memento","Tomb Raide","Ferris Bue","Maid in Ma","Entrapment","Meet the P","Dodgeball ","Rain Man","Patch Adam","Big Fish","Fight Club","S.W.A.T.","Good Will ","A Few Good","Enemy of t","The Genera","Minority R","Somethings","Raiders of","Anger Mana","Sideways","Kill Bill:","American P","The Fast a","The School","Napoleon D","The Notebo"
3,3,4,4,3,5,5,5,5,3,5,3,3,5,4,3,5,5,5,5,5,5,0,5,3,4,4,4,5,5,5,5,4,4,5,4,5,3,0,4,4,3,5,4,5,4,5,5,5,3,5,5,5,4,5,5,4,5,4,5,5,3,5,5,4,3,3,4,4,5,5,5,5,5,5,4,2,3,2,4,4,5,5,5,3,5,5,4,5,5,5,4,3,1,4,4,2,0,2,5
3,4,5,3,4,4,4,4,4,4,3,4,1,4,4,4,3,4,4,3,4,4,3,3,3,4,3,3,4,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,3,4,3,2,3,4,3,3,3,3,4,2,3,3,4,4,3,3,0,4,3,4,3,4,4,4,3,0,4,3,4,4,0,4,4,3,3,4,0,3,3,4,2,3,4,0,4
5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,3,3,3,3,5,5,5,5,2,5,2,5,5,5,5,5,5,0,5,5,5,3,5,5,5,5,4,5,5,3,5,5,5,5,5,3,3,3,4,5,0,4,5,3,5,5,5,5,5,3,4,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,3,2,5,4,4,4,5,3,3,5,3,0,5,5,4,3,0,5
5,5,5,5,3,5,5,5,3,4,5,5,5,5,3,5,0,0,0,3,0,0,0,5,0,3,0,0,3,5,0,4,5,4,2,3,4,0,0,4,3,4,0,5,3,0,5,3,0,5,0,5,5,4,4,4,4,3,5,5,4,4,5,3,5,4,0,4,5,4,4,5,5,0,0,3,5,0,5,3,4,0,0,0,0,0,5,0,0,0,3,3,5,0,2,0,3,4,0,0
4,4,5,2,3,4,3,5,2,1,3,2,2,3,3,0,3,5,4,4,0,3,2,4,0,4,4,0,5,5,0,4,5,3,4,4,1,0,3,2,3,3,4,4,3,3,3,5,0,4,5,4,4,3,5,3,3,5,5,4,2,3,5,3,3,0,5,5,5,4,4,5,4,0,3,3,2,4,4,0,4,0,3,1,3,5,3,4,4,4,4,0,0,3,1,0,0,3,1,3
4,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,5,5,5,5,2,5,5,3,2,5,5,3,3,5,5,0,4,5,5,5,5,0,5,2,4,0,5,4,5,5,5,4,4,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,3,4,4,3,5,5,0,5,4,4,3,5,5,4,5,5,3,5,4,4,2,5,3,3,4,5
3,5,5,4,4,4,5,5,4,4,4,5,3,5,4,5,4,5,4,5,5,5,5,5,3,5,5,4,5,5,4,5,5,3,3,4,5,5,4,4,5,5,5,4,3,5,5,5,5,3,5,5,4,4,5,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,5,0,4,5,3,4,5,4,5,4,4,4,4,5,5,4,4,5,4,5,4,5,5,5,4,4,2,0
3,3,4,3,4,4,5,4,2,4,3,3,4,2,3,4,5,5,4,4,5,3,3,5,5,3,5,3,4,5,3,5,5,2,3,4,3,5,4,3,4,4,5,4,3,5,5,5,5,3,5,5,3,2,5,4,3,5,5,4,3,0,5,5,5,3,5,5,5,4,4,0,5,5,3,4,0,3,4,3,5,3,5,5,3,5,4,3,3,4,3,5,4,5,5,3,3,4,5,4
3,4,3,3,3,2,4,5,3,3,2,1,3,3,3,3,4,4,3,3,3,2,3,4,4,1,5,0,5,4,3,4,4,3,2,2,1,3,3,3,5,4,4,3,2,4,3,5,5,2,5,4,3,3,4,5,0,3,4,3,4,4,5,4,4,2,4,2,5,3,4,4,5,5,2,4,1,3,2,1,4,3,5,3,3,4,5,3,3,4,2,5,3,4,0,2,3,3,3,0
4,4,4,3,3,4,5,5,3,4,3,3,3,3,3,3,3,3,4,3,4,3,0,0,0,4,4,0,0,5,4,5,5,0,0,4,3,3,3,4,0,3,3,3,3,4,5,4,3,4,5,3,3,3,3,3,3,0,5,3,4,0,3,4,0,2,4,2,5,3,0,4,4,2,0,5,3,3,4,3,4,0,4,3,3,0,3,0,3,3,4,0,2,3,2,3,0,4,0,3
5,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,3,4,0,4,3,4,4,0,4,4,4,4,3,3,3,0,4,4,3,4,0,4,5,4,4,4,0,4,4,4,4,4,3,3,3,4,4,0,4,4,0,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,3,4,3,4,4,4,4,4,3,4,2,0,4,4,4,3,4
4,3,2,3,4,4,4,3,3,4,4,1,3,3,3,2,3,3,3,3,2,3,0,4,2,4,0,4,3,4,3,0,4,3,3,3,3,1,3,3,3,3,3,3,4,2,4,1,2,4,4,3,2,0,3,4,3,0,5,3,4,0,4,2,4,3,3,2,1,3,4,4,5,3,2,4,2,0,2,4,4,3,3,2,2,4,4,3,2,3,3,3,2,0,2,3,4,3,0,3
3,2,4,4,4,5,3,4,2,3,4,4,3,4,4,3,4,4,4,0,2,4,0,4,2,5,2,0,5,4,4,4,3,3,4,4,4,0,4,0,5,5,0,3,4,4,5,5,0,5,5,3,4,4,5,0,0,0,4,3,3,3,0,5,4,0,4,4,3,4,3,5,4,4,0,5,4,4,5,0,5,5,3,1,0,5,4,4,4,1,4,5,3,0,0,4,1,4,2,5
3,3,5,3,5,3,5,5,3,3,5,4,5,4,4,4,5,4,5,4,5,5,4,0,4,5,1,3,5,4,1,5,4,3,4,3,4,5,5,4,5,5,5,4,5,5,5,4,3,3,5,3,0,3,4,4,4,5,5,3,5,4,4,5,0,2,4,5,5,1,0,4,3,0,3,5,3,5,5,3,5,4,5,4,0,5,5,4,4,4,4,5,3,4,0,0,1,4,4,2
1,2,3,3,4,3,4,4,2,1,3,1,3,3,2,4,4,4,4,3,5,2,2,3,5,1,4,2,4,5,3,1,5,0,0,3,2,4,3,4,4,4,5,4,1,5,5,3,5,2,5,4,3,2,3,3,1,4,4,2,1,1,5,3,3,3,5,4,3,4,4,3,5,5,2,4,4,3,2,3,4,0,3,5,4,5,4,3,2,4,3,5,2,4,4,2,2,4,3,0
4,4,4,4,5,3,5,5,3,4,4,5,4,4,4,2,4,5,5,5,0,4,4,4,0,3,3,3,5,5,5,3,4,4,5,4,5,0,4,3,3,4,4,5,4,4,4,5,3,4,5,5,5,3,5,4,4,4,4,5,4,4,4,5,5,4,3,5,5,0,4,4,5,0,4,4,4,4,0,3,4,0,0,0,4,0,5,5,4,4,0,4,3,0,3,0,5,3,0,0
3,4,4,2,5,5,5,5,4,2,4,4,4,4,5,4,4,4,0,4,4,4,3,4,4,4,4,4,5,4,4,5,4,5,5,3,5,0,5,5,4,4,0,4,4,4,4,4,0,4,5,5,4,4,0,4,5,4,5,4,4,4,4,4,4,3,0,4,5,5,5,5,5,4,4,4,4,4,5,3,5,5,0,3,4,5,4,4,5,4,5,4,5,4,0,5,3,0,3,0
3,4,3,4,4,4,4,4,3,4,2,3,4,4,3,3,4,4,4,3,5,3,3,0,4,0,5,4,5,5,4,5,5,0,4,4,3,4,4,4,4,4,5,3,2,3,4,4,0,3,5,4,3,3,0,0,2,5,5,3,3,0,5,4,5,0,3,4,5,4,4,0,5,4,2,4,1,4,4,3,4,3,0,4,4,5,4,4,3,3,4,5,3,5,0,4,3,3,4,4
3,4,4,3,4,4,4,4,3,3,3,3,3,5,4,3,4,4,4,4,5,3,3,5,3,4,4,3,5,5,3,4,5,0,3,4,3,0,4,3,4,4,4,5,3,4,5,5,3,3,5,3,3,3,4,3,3,4,5,4,4,4,5,4,5,2,3,4,5,4,4,4,3,5,3,4,0,3,3,3,3,0,3,4,3,4,4,3,0,5,0,5,0,3,4,4,3,0,4,0
5,5,4,4,5,5,5,5,4,5,5,3,4,4,5,4,5,4,0,0,5,5,4,5,3,5,3,4,4,4,0,4,5,4,4,4,4,2,5,5,5,5,5,4,5,0,5,5,3,4,5,0,5,3,5,4,4,5,5,4,4,4,5,4,5,4,4,5,0,4,5,5,5,5,0,5,4,4,5,4,5,2,5,3,3,0,4,4,3,3,5,5,4,0,4,4,3,3,2,5
5,5,4,4,5,5,5,5,4,4,4,4,4,5,5,3,5,4,4,0,5,4,4,5,4,5,5,4,5,5,5,5,5,4,5,4,0,5,5,4,5,4,5,4,5,5,0,5,4,4,5,5,4,4,5,4,0,5,5,5,5,4,5,5,5,4,4,5,5,5,0,5,5,5,0,5,4,4,5,5,5,4,5,5,4,5,5,5,4,4,4,5,4,0,5,5,4,4,4,5
3,4,4,5,4,4,5,5,4,3,3,4,5,4,3,1,2,4,5,4,0,3,4,4,0,3,0,2,5,5,5,3,5,3,4,1,4,0,5,2,3,0,5,4,3,3,4,4,0,0,4,5,5,3,4,2,1,5,3,4,5,4,5,5,3,0,1,4,3,5,5,3,5,1,2,3,2,4,0,1,5,4,2,0,5,4,4,4,5,5,3,2,1,0,0,0,0,0,1,2
3,4,4,4,4,3,5,5,4,4,3,4,4,4,4,4,4,3,3,3,4,3,4,5,2,4,3,0,5,4,4,5,4,3,3,3,4,0,4,4,0,4,4,4,3,4,5,3,2,3,5,3,4,3,3,3,3,3,5,4,4,3,4,4,5,3,3,3,4,4,5,5,4,3,0,3,3,3,3,3,4,4,2,0,3,4,4,0,3,3,4,4,1,0,0,4,2,3,0,4
4,4,5,4,3,5,5,5,3,4,4,4,4,4,5,4,3,4,4,0,2,4,4,0,2,5,0,3,4,5,5,5,5,4,4,5,5,2,5,4,5,4,3,4,4,3,4,4,2,4,5,4,4,3,5,4,0,3,5,3,4,4,4,3,3,3,3,3,5,5,4,4,0,0,4,4,4,4,3,0,4,5,3,0,3,5,5,4,4,4,4,5,2,0,1,2,3,0,0,5
